C:\Users\Jule\PycharmProjects\dressCode\venv\Scripts\python.exe C:/Users/Jule/PycharmProjects/dressCode/CutOutWasteAsymetry.py
gen	nevals	avg	std	min	max
0  	500   	0  	0  	0  	0  
1  	301   	0  	0  	0  	0  
2  	297   	0  	0  	0  	0  
3  	301   	0  	0  	0  	0  
4  	278   	0  	0  	0  	0  
5  	319   	0  	0  	0  	0  
6  	280   	0  	0  	0  	0  
7  	285   	0  	0  	0  	0  
8  	290   	0  	0  	0  	0  
9  	319   	0  	0  	0  	0  
10 	320   	0  	0  	0  	0  
11 	311   	0  	0  	0  	0  
12 	297   	0  	0  	0  	0  
13 	310   	0  	0  	0  	0  
14 	295   	0  	0  	0  	0  
15 	275   	0  	0  	0  	0  
16 	305   	0  	0  	0  	0  
17 	303   	0  	0  	0  	0  
18 	305   	0  	0  	0  	0  
19 	297   	0  	0  	0  	0  
20 	285   	0  	0  	0  	0  
21 	279   	0  	0  	0  	0  
22 	316   	0  	0  	0  	0  
23 	305   	0  	0  	0  	0  
24 	307   	0  	0  	0  	0  
25 	298   	0  	0  	0  	0  
26 	314   	0  	0  	0  	0  
27 	297   	0  	0  	0  	0  
28 	310   	0  	0  	0  	0  
29 	315   	0  	0  	0  	0  
30 	308   	0  	0  	0  	0  
31 	298   	0  	0  	0  	0  
32 	313   	0  	0  	0  	0  
33 	285   	0  	0  	0  	0  
34 	296   	0  	0  	0  	0  
35 	268   	0  	0  	0  	0  
36 	290   	0  	0  	0  	0  
37 	306   	0  	0  	0  	0  
38 	276   	0  	0  	0  	0  
39 	295   	0  	0  	0  	0  
40 	299   	0  	0  	0  	0  
41 	304   	0  	0  	0  	0  
42 	316   	0  	0  	0  	0  
43 	294   	0  	0  	0  	0  
44 	303   	0  	0  	0  	0  
45 	303   	0  	0  	0  	0  
46 	265   	0  	0  	0  	0  
47 	320   	0  	0  	0  	0  
48 	305   	0  	0  	0  	0  
49 	318   	0  	0  	0  	0  
50 	295   	0  	0  	0  	0  
51 	273   	0  	0  	0  	0  
52 	319   	0  	0  	0  	0  
53 	289   	0  	0  	0  	0  
54 	307   	0  	0  	0  	0  
55 	292   	0  	0  	0  	0  
56 	292   	0  	0  	0  	0  
57 	290   	0  	0  	0  	0  
58 	323   	0  	0  	0  	0  
59 	314   	0  	0  	0  	0  
60 	316   	0  	0  	0  	0  
61 	324   	0  	0  	0  	0  
62 	307   	0  	0  	0  	0  
63 	314   	0  	0  	0  	0  
64 	299   	0  	0  	0  	0  
65 	308   	0  	0  	0  	0  
66 	306   	0  	0  	0  	0  
67 	298   	0  	0  	0  	0  
68 	297   	0  	0  	0  	0  
69 	301   	0  	0  	0  	0  
70 	298   	0  	0  	0  	0  
71 	299   	0  	0  	0  	0  
72 	321   	0  	0  	0  	0  
73 	290   	0  	0  	0  	0  
74 	291   	0  	0  	0  	0  
75 	306   	0  	0  	0  	0  
76 	302   	0  	0  	0  	0  
77 	305   	0  	0  	0  	0  
78 	293   	0  	0  	0  	0  
79 	331   	0  	0  	0  	0  
80 	291   	0  	0  	0  	0  
81 	304   	0  	0  	0  	0  
82 	305   	0  	0  	0  	0  
83 	305   	0  	0  	0  	0  
84 	306   	0  	0  	0  	0  
85 	315   	0  	0  	0  	0  
86 	322   	0  	0  	0  	0  
87 	299   	0  	0  	0  	0  
88 	325   	0  	0  	0  	0  
89 	295   	0  	0  	0  	0  
90 	298   	0  	0  	0  	0  
91 	296   	0  	0  	0  	0  
92 	299   	0  	0  	0  	0  
93 	328   	0  	0  	0  	0  
94 	315   	0  	0  	0  	0  
95 	312   	0  	0  	0  	0  
96 	291   	0  	0  	0  	0  
97 	297   	0  	0  	0  	0  
98 	308   	0  	0  	0  	0  
99 	331   	0  	0  	0  	0  
100	286   	0  	0  	0  	0  
101	314   	0  	0  	0  	0  
102	321   	0  	0  	0  	0  
103	302   	0  	0  	0  	0  
104	308   	0  	0  	0  	0  
105	294   	0  	0  	0  	0  
106	302   	0  	0  	0  	0  
107	303   	0  	0  	0  	0  
108	313   	0  	0  	0  	0  
109	311   	0  	0  	0  	0  
110	286   	0  	0  	0  	0  
111	316   	0  	0  	0  	0  
112	331   	0  	0  	0  	0  
113	267   	0  	0  	0  	0  
114	300   	0  	0  	0  	0  
115	298   	0  	0  	0  	0  
116	295   	0  	0  	0  	0  
117	317   	0  	0  	0  	0  
118	314   	0  	0  	0  	0  
119	292   	0  	0  	0  	0  
120	280   	0  	0  	0  	0  
121	304   	0  	0  	0  	0  
122	311   	0  	0  	0  	0  
123	283   	0  	0  	0  	0  
124	260   	0  	0  	0  	0  
125	319   	0  	0  	0  	0  
126	301   	0  	0  	0  	0  
127	307   	0  	0  	0  	0  
128	305   	0  	0  	0  	0  
129	272   	0  	0  	0  	0  
130	305   	0  	0  	0  	0  
131	312   	0  	0  	0  	0  
132	291   	0  	0  	0  	0  
133	301   	0  	0  	0  	0  
134	315   	0  	0  	0  	0  
135	277   	0  	0  	0  	0  
136	279   	0  	0  	0  	0  
137	280   	0  	0  	0  	0  
138	308   	0  	0  	0  	0  
139	278   	0  	0  	0  	0  
140	260   	0  	0  	0  	0  
141	286   	0  	0  	0  	0  
142	307   	0  	0  	0  	0  
143	287   	0  	0  	0  	0  
144	298   	0  	0  	0  	0  
145	294   	0  	0  	0  	0  
146	306   	0  	0  	0  	0  
147	273   	0  	0  	0  	0  
148	293   	0  	0  	0  	0  
149	289   	0  	0  	0  	0  
150	308   	0  	0  	0  	0  
151	319   	0  	0  	0  	0  
152	311   	0  	0  	0  	0  
153	285   	0  	0  	0  	0  
154	294   	0  	0  	0  	0  
155	292   	0  	0  	0  	0  
156	301   	0  	0  	0  	0  
157	307   	0  	0  	0  	0  
158	300   	0  	0  	0  	0  
159	304   	0  	0  	0  	0  
160	311   	0  	0  	0  	0  
161	307   	0  	0  	0  	0  
162	270   	0  	0  	0  	0  
163	288   	0  	0  	0  	0  
164	307   	0  	0  	0  	0  
165	298   	0  	0  	0  	0  
166	315   	0  	0  	0  	0  
167	303   	0  	0  	0  	0  
168	270   	0  	0  	0  	0  
169	318   	0  	0  	0  	0  
170	301   	0  	0  	0  	0  
171	316   	0  	0  	0  	0  
172	294   	0  	0  	0  	0  
173	300   	0  	0  	0  	0  
174	285   	0  	0  	0  	0  
175	290   	0  	0  	0  	0  
176	306   	0  	0  	0  	0  
177	289   	0  	0  	0  	0  
178	306   	0  	0  	0  	0  
179	305   	0  	0  	0  	0  
180	281   	0  	0  	0  	0  
181	312   	0  	0  	0  	0  
182	278   	0  	0  	0  	0  
183	291   	0  	0  	0  	0  
184	312   	0  	0  	0  	0  
185	327   	0  	0  	0  	0  
186	317   	0  	0  	0  	0  
187	292   	0  	0  	0  	0  
188	317   	0  	0  	0  	0  
189	300   	0  	0  	0  	0  
190	279   	0  	0  	0  	0  
191	317   	0  	0  	0  	0  
192	307   	0  	0  	0  	0  
193	312   	0  	0  	0  	0  
194	300   	0  	0  	0  	0  
195	253   	0  	0  	0  	0  
196	296   	0  	0  	0  	0  
197	303   	0  	0  	0  	0  
198	307   	0  	0  	0  	0  
199	296   	0  	0  	0  	0  
200	286   	0  	0  	0  	0  
201	311   	0  	0  	0  	0  
202	284   	0  	0  	0  	0  
203	319   	0  	0  	0  	0  
204	329   	0  	0  	0  	0  
205	289   	0  	0  	0  	0  
206	320   	0  	0  	0  	0  
207	299   	0  	0  	0  	0  
208	307   	0  	0  	0  	0  
209	327   	0  	0  	0  	0  
210	304   	0  	0  	0  	0  
211	281   	0  	0  	0  	0  
212	313   	0  	0  	0  	0  
213	288   	0  	0  	0  	0  
214	288   	0  	0  	0  	0  
215	297   	0  	0  	0  	0  
216	316   	0  	0  	0  	0  
217	304   	0  	0  	0  	0  
218	305   	0  	0  	0  	0  
219	297   	0  	0  	0  	0  
220	325   	0  	0  	0  	0  
221	303   	0  	0  	0  	0  
222	280   	0  	0  	0  	0  
223	275   	0  	0  	0  	0  
224	310   	0  	0  	0  	0  
225	302   	0  	0  	0  	0  
226	304   	0  	0  	0  	0  
227	309   	0  	0  	0  	0  
228	306   	0  	0  	0  	0  
229	275   	0  	0  	0  	0  
230	314   	0  	0  	0  	0  
231	328   	0  	0  	0  	0  
232	297   	0  	0  	0  	0  
233	255   	0  	0  	0  	0  
234	283   	0  	0  	0  	0  
235	273   	0  	0  	0  	0  
236	315   	0  	0  	0  	0  
237	299   	0  	0  	0  	0  
238	276   	0  	0  	0  	0  
239	314   	0  	0  	0  	0  
240	296   	0  	0  	0  	0  
241	315   	0  	0  	0  	0  
242	324   	0  	0  	0  	0  
