C:\Users\Jule\PycharmProjects\dressCode\venv\Scripts\python.exe C:\Users\Jule\PycharmProjects\dressCode\RandomWasteAsymetry.py
Received bounds: ((0, 400), (0, 200))
Received bounds: ((200, 300), (0, 450))
Received bounds: ((300, 500), (200, 350))
Received bounds: ((450, 600), (200, 600))
gen	nevals	avg	std	min	max
0  	500   	0  	0  	0  	0  
1  	301   	0  	0  	0  	0  
2  	302   	0  	0  	0  	0  
3  	337   	0  	0  	0  	0  
4  	313   	0  	0  	0  	0  
5  	295   	0  	0  	0  	0  
6  	299   	0  	0  	0  	0  
7  	291   	0  	0  	0  	0  
8  	288   	0  	0  	0  	0  
9  	326   	0  	0  	0  	0  
10 	310   	0  	0  	0  	0  
11 	290   	0  	0  	0  	0  
12 	301   	0  	0  	0  	0  
13 	306   	0  	0  	0  	0  
14 	293   	0  	0  	0  	0  
15 	298   	0  	0  	0  	0  
16 	296   	0  	0  	0  	0  
17 	300   	0  	0  	0  	0  
18 	267   	0  	0  	0  	0  
19 	274   	0  	0  	0  	0  
20 	292   	0  	0  	0  	0  
21 	305   	0  	0  	0  	0  
22 	329   	0  	0  	0  	0  
23 	292   	0  	0  	0  	0  
24 	308   	0  	0  	0  	0  
25 	323   	0  	0  	0  	0  
26 	329   	0  	0  	0  	0  
27 	301   	0  	0  	0  	0  
28 	303   	0  	0  	0  	0  
29 	302   	0  	0  	0  	0  
30 	269   	0  	0  	0  	0  
31 	308   	0  	0  	0  	0  
32 	293   	0  	0  	0  	0  
33 	292   	0  	0  	0  	0  
34 	296   	0  	0  	0  	0  
35 	291   	0  	0  	0  	0  
36 	297   	0  	0  	0  	0  
37 	311   	0  	0  	0  	0  
38 	292   	0  	0  	0  	0  
39 	306   	0  	0  	0  	0  
40 	304   	0  	0  	0  	0  
41 	292   	0  	0  	0  	0  
42 	303   	0  	0  	0  	0  
43 	285   	0  	0  	0  	0  
44 	299   	0  	0  	0  	0  
45 	296   	0  	0  	0  	0  
46 	299   	0  	0  	0  	0  
47 	271   	0  	0  	0  	0  
48 	309   	0  	0  	0  	0  
49 	309   	0  	0  	0  	0  
50 	315   	0  	0  	0  	0  
51 	333   	0  	0  	0  	0  
52 	288   	0  	0  	0  	0  
53 	312   	0  	0  	0  	0  
54 	310   	0  	0  	0  	0  
55 	337   	0  	0  	0  	0  
56 	290   	0  	0  	0  	0  
57 	299   	0  	0  	0  	0  
58 	336   	0  	0  	0  	0  
59 	291   	0  	0  	0  	0  
60 	297   	0  	0  	0  	0  
61 	311   	0  	0  	0  	0  
62 	283   	0  	0  	0  	0  
63 	299   	0  	0  	0  	0  
64 	291   	0  	0  	0  	0  
65 	296   	0  	0  	0  	0  
66 	302   	0  	0  	0  	0  
67 	311   	0  	0  	0  	0  
68 	314   	0  	0  	0  	0  
69 	295   	0  	0  	0  	0  
70 	291   	0  	0  	0  	0  
71 	282   	0  	0  	0  	0  
72 	276   	0  	0  	0  	0  
73 	301   	0  	0  	0  	0  
74 	264   	0  	0  	0  	0  
75 	294   	0  	0  	0  	0  
76 	285   	0  	0  	0  	0  
77 	310   	0  	0  	0  	0  
78 	287   	0  	0  	0  	0  
79 	309   	0  	0  	0  	0  
80 	311   	0  	0  	0  	0  
81 	270   	0  	0  	0  	0  
82 	310   	0  	0  	0  	0  
83 	296   	0  	0  	0  	0  
84 	321   	0  	0  	0  	0  
85 	307   	0  	0  	0  	0  
86 	299   	0  	0  	0  	0  
87 	301   	0  	0  	0  	0  
88 	267   	0  	0  	0  	0  
89 	320   	0  	0  	0  	0  
90 	299   	0  	0  	0  	0  
91 	313   	0  	0  	0  	0  
92 	286   	0  	0  	0  	0  
93 	306   	0  	0  	0  	0  
94 	290   	0  	0  	0  	0  
95 	328   	0  	0  	0  	0  
96 	279   	0  	0  	0  	0  
97 	300   	0  	0  	0  	0  
98 	294   	0  	0  	0  	0  
99 	302   	0  	0  	0  	0  
100	309   	0  	0  	0  	0  
101	308   	0  	0  	0  	0  
102	305   	0  	0  	0  	0  
103	295   	0  	0  	0  	0  
104	283   	0  	0  	0  	0  
105	306   	0  	0  	0  	0  
106	300   	0  	0  	0  	0  
107	301   	0  	0  	0  	0  
108	289   	0  	0  	0  	0  
109	289   	0  	0  	0  	0  
110	324   	0  	0  	0  	0  
111	307   	0  	0  	0  	0  
112	320   	0  	0  	0  	0  
113	306   	0  	0  	0  	0  
114	297   	0  	0  	0  	0  
115	304   	0  	0  	0  	0  
116	319   	0  	0  	0  	0  
117	288   	0  	0  	0  	0  
118	307   	0  	0  	0  	0  
119	302   	0  	0  	0  	0  
120	300   	0  	0  	0  	0  
121	295   	0  	0  	0  	0  
122	305   	0  	0  	0  	0  
123	278   	0  	0  	0  	0  
124	295   	0  	0  	0  	0  
125	285   	0  	0  	0  	0  
126	287   	0  	0  	0  	0  
127	294   	0  	0  	0  	0  
128	301   	0  	0  	0  	0  
129	279   	0  	0  	0  	0  
130	312   	0  	0  	0  	0  
131	299   	0  	0  	0  	0  
132	301   	0  	0  	0  	0  
133	320   	0  	0  	0  	0  
134	281   	0  	0  	0  	0  
135	308   	0  	0  	0  	0  
136	308   	0  	0  	0  	0  
137	276   	0  	0  	0  	0  
138	295   	0  	0  	0  	0  
139	311   	0  	0  	0  	0  
140	286   	0  	0  	0  	0  
141	312   	0  	0  	0  	0  
142	284   	0  	0  	0  	0  
143	284   	0  	0  	0  	0  
144	289   	0  	0  	0  	0  
145	302   	0  	0  	0  	0  
146	278   	0  	0  	0  	0  
147	313   	0  	0  	0  	0  
148	320   	0  	0  	0  	0  
149	313   	0  	0  	0  	0  
150	290   	0  	0  	0  	0  
151	281   	0  	0  	0  	0  
152	296   	0  	0  	0  	0  
153	301   	0  	0  	0  	0  
154	300   	0  	0  	0  	0  
155	292   	0  	0  	0  	0  
156	315   	0  	0  	0  	0  
157	283   	0  	0  	0  	0  
158	288   	0  	0  	0  	0  
159	283   	0  	0  	0  	0  
160	278   	0  	0  	0  	0  
161	310   	0  	0  	0  	0  
162	283   	0  	0  	0  	0  
163	315   	0  	0  	0  	0  
164	304   	0  	0  	0  	0  
165	282   	0  	0  	0  	0  
166	309   	0  	0  	0  	0  
167	303   	0  	0  	0  	0  
168	303   	0  	0  	0  	0  
169	284   	0  	0  	0  	0  
170	311   	0  	0  	0  	0  
171	308   	0  	0  	0  	0  
172	297   	0  	0  	0  	0  
173	315   	0  	0  	0  	0  
174	282   	0  	0  	0  	0  
175	329   	0  	0  	0  	0  
176	286   	0  	0  	0  	0  
177	293   	0  	0  	0  	0  
178	314   	0  	0  	0  	0  
179	293   	0  	0  	0  	0  
180	315   	0  	0  	0  	0  
181	303   	0  	0  	0  	0  
182	328   	0  	0  	0  	0  
183	318   	0  	0  	0  	0  
184	306   	0  	0  	0  	0  
185	315   	0  	0  	0  	0  
186	313   	0  	0  	0  	0  
187	312   	0  	0  	0  	0  
188	304   	0  	0  	0  	0  
189	306   	0  	0  	0  	0  
190	329   	0  	0  	0  	0  
191	300   	0  	0  	0  	0  
192	286   	0  	0  	0  	0  
193	335   	0  	0  	0  	0  
194	308   	0  	0  	0  	0  
195	303   	0  	0  	0  	0  
196	280   	0  	0  	0  	0  
197	323   	0  	0  	0  	0  
198	304   	0  	0  	0  	0  
199	305   	0  	0  	0  	0  
200	314   	0  	0  	0  	0  
201	297   	0  	0  	0  	0  
202	319   	0  	0  	0  	0  
203	307   	0  	0  	0  	0  
204	290   	0  	0  	0  	0  
205	298   	0  	0  	0  	0  
206	346   	0  	0  	0  	0  
207	315   	0  	0  	0  	0  
208	288   	0  	0  	0  	0  
209	327   	0  	0  	0  	0  
210	314   	0  	0  	0  	0  
211	302   	0  	0  	0  	0  
212	307   	0  	0  	0  	0  
213	300   	0  	0  	0  	0  
214	309   	0  	0  	0  	0  
215	294   	0  	0  	0  	0  
216	337   	0  	0  	0  	0  
217	290   	0  	0  	0  	0  
218	276   	0  	0  	0  	0  
219	305   	0  	0  	0  	0  
220	288   	0  	0  	0  	0  
221	287   	0  	0  	0  	0  
222	302   	0  	0  	0  	0  
223	278   	0  	0  	0  	0  
224	319   	0  	0  	0  	0  
225	272   	0  	0  	0  	0  
226	300   	0  	0  	0  	0  
227	306   	0  	0  	0  	0  
228	272   	0  	0  	0  	0  
229	292   	0  	0  	0  	0  
230	311   	0  	0  	0  	0  
231	299   	0  	0  	0  	0  
232	294   	0  	0  	0  	0  
233	333   	0  	0  	0  	0  
234	313   	0  	0  	0  	0  
235	308   	0  	0  	0  	0  
236	340   	0  	0  	0  	0  
237	307   	0  	0  	0  	0  
238	306   	0  	0  	0  	0  
