C:\Users\Jule\PycharmProjects\dressCode\venv\Scripts\python.exe C:/Users/Jule/PycharmProjects/dressCode/CutOutWasteAsymetry.py
gen	nevals	avg	std	min	max
0  	500   	0  	0  	0  	0  
1  	283   	0  	0  	0  	0  
2  	311   	0  	0  	0  	0  
3  	290   	0  	0  	0  	0  
4  	303   	0  	0  	0  	0  
5  	300   	0  	0  	0  	0  
6  	326   	0  	0  	0  	0  
7  	301   	0  	0  	0  	0  
8  	301   	0  	0  	0  	0  
9  	307   	0  	0  	0  	0  
10 	270   	0  	0  	0  	0  
11 	295   	0  	0  	0  	0  
12 	297   	0  	0  	0  	0  
13 	278   	0  	0  	0  	0  
14 	314   	0  	0  	0  	0  
15 	292   	0  	0  	0  	0  
16 	302   	0  	0  	0  	0  
17 	280   	0  	0  	0  	0  
18 	306   	0  	0  	0  	0  
19 	280   	0  	0  	0  	0  
20 	312   	0  	0  	0  	0  
21 	293   	0  	0  	0  	0  
22 	310   	0  	0  	0  	0  
23 	280   	0  	0  	0  	0  
24 	289   	0  	0  	0  	0  
25 	294   	0  	0  	0  	0  
26 	293   	0  	0  	0  	0  
27 	306   	0  	0  	0  	0  
28 	304   	0  	0  	0  	0  
29 	289   	0  	0  	0  	0  
30 	322   	0  	0  	0  	0  
31 	286   	0  	0  	0  	0  
32 	321   	0  	0  	0  	0  
33 	299   	0  	0  	0  	0  
34 	290   	0  	0  	0  	0  
35 	273   	0  	0  	0  	0  
36 	306   	0  	0  	0  	0  
37 	295   	0  	0  	0  	0  
38 	279   	0  	0  	0  	0  
39 	288   	0  	0  	0  	0  
40 	295   	0  	0  	0  	0  
41 	287   	0  	0  	0  	0  
42 	326   	0  	0  	0  	0  
43 	302   	0  	0  	0  	0  
44 	292   	0  	0  	0  	0  
45 	309   	0  	0  	0  	0  
46 	313   	0  	0  	0  	0  
47 	331   	0  	0  	0  	0  
48 	273   	0  	0  	0  	0  
49 	297   	0  	0  	0  	0  
50 	303   	0  	0  	0  	0  
51 	337   	0  	0  	0  	0  
52 	312   	0  	0  	0  	0  
53 	317   	0  	0  	0  	0  
54 	320   	0  	0  	0  	0  
55 	295   	0  	0  	0  	0  
56 	324   	0  	0  	0  	0  
57 	282   	0  	0  	0  	0  
58 	280   	0  	0  	0  	0  
59 	281   	0  	0  	0  	0  
60 	296   	0  	0  	0  	0  
61 	298   	0  	0  	0  	0  
62 	310   	0  	0  	0  	0  
63 	281   	0  	0  	0  	0  
64 	300   	0  	0  	0  	0  
65 	294   	0  	0  	0  	0  
66 	258   	0  	0  	0  	0  
67 	294   	0  	0  	0  	0  
68 	340   	0  	0  	0  	0  
69 	292   	0  	0  	0  	0  
70 	317   	0  	0  	0  	0  
71 	298   	0  	0  	0  	0  
72 	290   	0  	0  	0  	0  
73 	319   	0  	0  	0  	0  
74 	293   	0  	0  	0  	0  
75 	301   	0  	0  	0  	0  
76 	291   	0  	0  	0  	0  
77 	282   	0  	0  	0  	0  
78 	300   	0  	0  	0  	0  
79 	297   	0  	0  	0  	0  
80 	298   	0  	0  	0  	0  
81 	304   	0  	0  	0  	0  
82 	263   	0  	0  	0  	0  
83 	264   	0  	0  	0  	0  
84 	314   	0  	0  	0  	0  
85 	284   	0  	0  	0  	0  
86 	297   	0  	0  	0  	0  
87 	308   	0  	0  	0  	0  
88 	290   	0  	0  	0  	0  
89 	316   	0  	0  	0  	0  
90 	304   	0  	0  	0  	0  
91 	268   	0  	0  	0  	0  
92 	294   	0  	0  	0  	0  
93 	285   	0  	0  	0  	0  
94 	322   	0  	0  	0  	0  
95 	282   	0  	0  	0  	0  
96 	286   	0  	0  	0  	0  
97 	311   	0  	0  	0  	0  
98 	293   	0  	0  	0  	0  
99 	321   	0  	0  	0  	0  
100	295   	0  	0  	0  	0  
101	287   	0  	0  	0  	0  
102	278   	0  	0  	0  	0  
103	316   	0  	0  	0  	0  
104	300   	0  	0  	0  	0  
105	288   	0  	0  	0  	0  
106	302   	0  	0  	0  	0  
107	302   	0  	0  	0  	0  
108	272   	0  	0  	0  	0  
109	317   	0  	0  	0  	0  
110	292   	0  	0  	0  	0  
111	301   	0  	0  	0  	0  
112	305   	0  	0  	0  	0  
113	311   	0  	0  	0  	0  
114	311   	0  	0  	0  	0  
115	311   	0  	0  	0  	0  
116	319   	0  	0  	0  	0  
117	299   	0  	0  	0  	0  
118	297   	0  	0  	0  	0  
119	286   	0  	0  	0  	0  
120	270   	0  	0  	0  	0  
121	317   	0  	0  	0  	0  
122	321   	0  	0  	0  	0  
123	314   	0  	0  	0  	0  
124	276   	0  	0  	0  	0  
125	290   	0  	0  	0  	0  
126	298   	0  	0  	0  	0  
127	302   	0  	0  	0  	0  
128	317   	0  	0  	0  	0  
129	305   	0  	0  	0  	0  
130	301   	0  	0  	0  	0  
131	307   	0  	0  	0  	0  
132	281   	0  	0  	0  	0  
133	300   	0  	0  	0  	0  
134	301   	0  	0  	0  	0  
135	322   	0  	0  	0  	0  
136	294   	0  	0  	0  	0  
137	302   	0  	0  	0  	0  
138	293   	0  	0  	0  	0  
139	305   	0  	0  	0  	0  
140	283   	0  	0  	0  	0  
141	286   	0  	0  	0  	0  
142	302   	0  	0  	0  	0  
143	294   	0  	0  	0  	0  
144	277   	0  	0  	0  	0  
145	279   	0  	0  	0  	0  
146	307   	0  	0  	0  	0  
147	279   	0  	0  	0  	0  
148	308   	0  	0  	0  	0  
149	284   	0  	0  	0  	0  
150	309   	0  	0  	0  	0  
151	318   	0  	0  	0  	0  
152	301   	0  	0  	0  	0  
153	306   	0  	0  	0  	0  
154	294   	0  	0  	0  	0  
155	292   	0  	0  	0  	0  
156	318   	0  	0  	0  	0  
157	308   	0  	0  	0  	0  
158	317   	0  	0  	0  	0  
159	311   	0  	0  	0  	0  
160	298   	0  	0  	0  	0  
161	294   	0  	0  	0  	0  
162	311   	0  	0  	0  	0  
163	309   	0  	0  	0  	0  
164	290   	0  	0  	0  	0  
165	306   	0  	0  	0  	0  
166	292   	0  	0  	0  	0  
167	312   	0  	0  	0  	0  
168	295   	0  	0  	0  	0  
169	324   	0  	0  	0  	0  
170	306   	0  	0  	0  	0  
171	297   	0  	0  	0  	0  
172	306   	0  	0  	0  	0  
173	295   	0  	0  	0  	0  
174	306   	0  	0  	0  	0  
175	308   	0  	0  	0  	0  
176	315   	0  	0  	0  	0  
177	289   	0  	0  	0  	0  
178	319   	0  	0  	0  	0  
179	274   	0  	0  	0  	0  
180	324   	0  	0  	0  	0  
181	310   	0  	0  	0  	0  
182	277   	0  	0  	0  	0  
183	313   	28.8374	644.179	0  	14418.7
184	314   	57.6748	910.093	0  	14418.7
185	308   	85.2934	1098.05	0  	14418.7
186	305   	115.117	1282.36	0  	14911.7
187	298   	403.428	2377.63	0  	14911.7
188	306   	1029.71	3698.52	0  	14911.7
189	320   	2524.13	5465.72	0  	15878.7
190	304   	7278.69	7203.74	0  	16317.2
191	296   	12657.6	5079.72	0  	16290.7
192	285   	12680.6	5506.75	0  	16759.8
193	269   	12997.4	5694   	0  	17325  
194	306   	13805.7	5542.35	0  	17325  
195	332   	14040.9	5865.94	0  	17692.2
196	285   	14294.8	6062.17	0  	17897.7
197	309   	14646.4	6072.89	0  	18453.2
198	306   	14149  	6903.76	0  	18811.5
199	289   	14880.1	6647.12	0  	18940.7
200	280   	15336.2	6603.6 	0  	19160.5
201	296   	15926.6	6432.46	0  	19540  
202	277   	16419.6	6241.7 	0  	19597.2
203	333   	15318.3	7569.62	0  	19721.8
204	284   	16266.7	7004.09	0  	20176.2
205	315   	15325.4	8001.74	0  	20324.1
206	307   	16323.6	7447.58	0  	20738.2
207	302   	16109.6	7909.06	0  	20932.7
208	295   	16733.6	7686.74	0  	21013.7
209	338   	16239.1	8329.86	0  	21298.3
210	323   	17012.8	7978.54	0  	21772.2
211	303   	17779  	7592.55	0  	21978  
212	302   	16845.4	8638   	0  	22099.3
213	322   	16933.8	8790.35	0  	22158.3
214	310   	16356  	9397.25	0  	22561.3
215	280   	17575.2	8791.47	0  	22721.2
216	283   	17942.3	8694.71	0  	22970.3
217	284   	17145.4	9429.11	0  	22992.2
218	294   	16960.5	9694.87	0  	23165.4
219	301   	16938.4	9835.77	0  	23232.8
220	291   	17505.4	9627.54	0  	23426.3
221	301   	18699.7	8884.14	0  	23554.2
222	304   	18165.7	9425.49	0  	23561.7
