gen	nevals	avg	std	min	max
0  	1000  	0  	0  	0  	0  
1  	600   	0  	0  	0  	0  
2  	583   	0  	0  	0  	0  
3  	577   	0  	0  	0  	0  
4  	605   	0  	0  	0  	0  
5  	624   	0  	0  	0  	0  
6  	621   	0  	0  	0  	0  
7  	576   	0  	0  	0  	0  
8  	615   	0  	0  	0  	0  
9  	614   	0  	0  	0  	0  
10 	587   	0  	0  	0  	0  
11 	581   	0  	0  	0  	0  
12 	626   	0  	0  	0  	0  
13 	581   	0  	0  	0  	0  
14 	579   	0  	0  	0  	0  
15 	592   	0  	0  	0  	0  
16 	616   	0  	0  	0  	0  
17 	611   	0  	0  	0  	0  
18 	614   	0  	0  	0  	0  
19 	584   	0  	0  	0  	0  
20 	626   	0  	0  	0  	0  
21 	617   	0  	0  	0  	0  
22 	656   	0  	0  	0  	0  
23 	615   	0  	0  	0  	0  
24 	592   	0  	0  	0  	0  
25 	610   	0  	0  	0  	0  
26 	593   	0  	0  	0  	0  
27 	599   	0  	0  	0  	0  
28 	608   	0  	0  	0  	0  
29 	650   	0  	0  	0  	0  
30 	581   	0  	0  	0  	0  
31 	587   	0  	0  	0  	0  
32 	602   	0  	0  	0  	0  
33 	586   	0  	0  	0  	0  
34 	591   	0  	0  	0  	0  
35 	583   	0  	0  	0  	0  
36 	580   	0  	0  	0  	0  
37 	592   	0  	0  	0  	0  
38 	617   	0  	0  	0  	0  
39 	620   	0  	0  	0  	0  
40 	591   	0  	0  	0  	0  
41 	604   	0  	0  	0  	0  
42 	600   	0  	0  	0  	0  
43 	612   	0  	0  	0  	0  
44 	595   	0  	0  	0  	0  
45 	636   	0  	0  	0  	0  
46 	606   	0  	0  	0  	0  
47 	618   	0  	0  	0  	0  
48 	574   	0  	0  	0  	0  
49 	613   	0  	0  	0  	0  
50 	578   	0  	0  	0  	0  
51 	604   	0  	0  	0  	0  
52 	585   	0  	0  	0  	0  
53 	612   	0  	0  	0  	0  
54 	589   	0  	0  	0  	0  
55 	607   	0  	0  	0  	0  
56 	593   	0  	0  	0  	0  
57 	608   	0  	0  	0  	0  
58 	622   	0  	0  	0  	0  
59 	573   	0  	0  	0  	0  
60 	604   	0  	0  	0  	0  
61 	595   	0  	0  	0  	0  
62 	602   	0  	0  	0  	0  
63 	609   	0  	0  	0  	0  
64 	595   	0  	0  	0  	0  
65 	545   	0  	0  	0  	0  
66 	621   	0  	0  	0  	0  
67 	602   	0  	0  	0  	0  
68 	664   	0  	0  	0  	0  
69 	599   	0  	0  	0  	0  
70 	601   	0  	0  	0  	0  
71 	588   	0  	0  	0  	0  
72 	612   	0  	0  	0  	0  
73 	611   	0  	0  	0  	0  
74 	612   	0  	0  	0  	0  
75 	601   	0  	0  	0  	0  
76 	566   	0  	0  	0  	0  
77 	631   	0  	0  	0  	0  
78 	580   	0  	0  	0  	0  
79 	607   	0  	0  	0  	0  
80 	628   	0  	0  	0  	0  
81 	606   	0  	0  	0  	0  
82 	579   	0  	0  	0  	0  
83 	620   	0  	0  	0  	0  
84 	622   	0  	0  	0  	0  
85 	616   	0  	0  	0  	0  
86 	592   	0  	0  	0  	0  
87 	603   	0  	0  	0  	0  
88 	590   	0  	0  	0  	0  
89 	576   	0  	0  	0  	0  
90 	571   	0  	0  	0  	0  
91 	621   	0  	0  	0  	0  
92 	573   	0  	0  	0  	0  
93 	582   	0  	0  	0  	0  
94 	602   	0  	0  	0  	0  
95 	619   	0  	0  	0  	0  
96 	596   	0  	0  	0  	0  
97 	621   	0  	0  	0  	0  
98 	587   	0  	0  	0  	0  
99 	609   	0  	0  	0  	0  
100	615   	0  	0  	0  	0  
101	603   	0  	0  	0  	0  
102	573   	0  	0  	0  	0  
103	608   	0  	0  	0  	0  
104	574   	0  	0  	0  	0  
105	608   	0  	0  	0  	0  
106	575   	0  	0  	0  	0  
107	611   	0  	0  	0  	0  
108	594   	0  	0  	0  	0  
109	611   	0  	0  	0  	0  
110	583   	0  	0  	0  	0  
111	621   	0  	0  	0  	0  
112	623   	0  	0  	0  	0  
113	545   	0  	0  	0  	0  
114	627   	0  	0  	0  	0  
115	617   	0  	0  	0  	0  
116	591   	0  	0  	0  	0  
117	608   	0  	0  	0  	0  
118	639   	0  	0  	0  	0  
119	604   	0  	0  	0  	0  
120	593   	0  	0  	0  	0  
121	578   	0  	0  	0  	0  
122	611   	0  	0  	0  	0  
123	581   	0  	0  	0  	0  
124	624   	0  	0  	0  	0  
125	641   	0  	0  	0  	0  
126	622   	0  	0  	0  	0  
127	611   	0  	0  	0  	0  
128	618   	0  	0  	0  	0  
129	588   	0  	0  	0  	0  
130	617   	0  	0  	0  	0  
131	591   	0  	0  	0  	0  
132	578   	0  	0  	0  	0  
133	603   	0  	0  	0  	0  
134	606   	0  	0  	0  	0  
135	613   	0  	0  	0  	0  
136	573   	0  	0  	0  	0  
137	561   	0  	0  	0  	0  
138	592   	0  	0  	0  	0  
139	592   	0  	0  	0  	0  
140	589   	0  	0  	0  	0  
141	579   	0  	0  	0  	0  
142	604   	0  	0  	0  	0  
143	581   	0  	0  	0  	0  
144	605   	0  	0  	0  	0  
145	602   	0  	0  	0  	0  
146	606   	0  	0  	0  	0  
147	607   	0  	0  	0  	0  
148	594   	0  	0  	0  	0  
149	585   	0  	0  	0  	0  
150	582   	0  	0  	0  	0  
151	608   	0  	0  	0  	0  
152	610   	0  	0  	0  	0  
153	584   	0  	0  	0  	0  
154	567   	0  	0  	0  	0  
155	584   	0  	0  	0  	0  
156	597   	0  	0  	0  	0  
157	638   	0  	0  	0  	0  
158	594   	0  	0  	0  	0  
159	634   	0  	0  	0  	0  
160	603   	0  	0  	0  	0  
161	615   	0  	0  	0  	0  
162	580   	0  	0  	0  	0  
163	603   	0  	0  	0  	0  
164	575   	0  	0  	0  	0  
165	634   	0  	0  	0  	0  
166	613   	0  	0  	0  	0  
167	608   	0  	0  	0  	0  
168	556   	0  	0  	0  	0  
169	575   	0  	0  	0  	0  
170	622   	0  	0  	0  	0  
171	605   	0  	0  	0  	0  
172	610   	0  	0  	0  	0  
173	598   	0  	0  	0  	0  
174	627   	0  	0  	0  	0  
175	579   	0  	0  	0  	0  
176	635   	0  	0  	0  	0  
177	600   	0  	0  	0  	0  
178	598   	0  	0  	0  	0  
179	611   	0  	0  	0  	0  
180	603   	0  	0  	0  	0  
181	591   	0  	0  	0  	0  
182	585   	0  	0  	0  	0  
183	590   	0  	0  	0  	0  
184	576   	0  	0  	0  	0  
185	572   	0  	0  	0  	0  
186	625   	0  	0  	0  	0  
187	606   	0  	0  	0  	0  
188	576   	0  	0  	0  	0  
189	605   	0  	0  	0  	0  
190	604   	0  	0  	0  	0  
191	616   	0  	0  	0  	0  
192	619   	0  	0  	0  	0  
193	598   	0  	0  	0  	0  
194	610   	0  	0  	0  	0  
195	633   	0  	0  	0  	0  
196	585   	0  	0  	0  	0  
197	605   	0  	0  	0  	0  
198	563   	0  	0  	0  	0  
199	591   	0  	0  	0  	0  
200	593   	0  	0  	0  	0  
201	611   	0  	0  	0  	0  
202	611   	0  	0  	0  	0  
203	610   	0  	0  	0  	0  
204	580   	0  	0  	0  	0  
205	608   	0  	0  	0  	0  
206	639   	0  	0  	0  	0  
207	606   	0  	0  	0  	0  
208	584   	0  	0  	0  	0  
209	575   	0  	0  	0  	0  
210	599   	0  	0  	0  	0  
211	594   	0  	0  	0  	0  
212	583   	0  	0  	0  	0  
213	593   	0  	0  	0  	0  
214	603   	0  	0  	0  	0  
215	577   	0  	0  	0  	0  
216	613   	0  	0  	0  	0  
