gen	nevals	avg    	std    	min	max    
0  	500   	26.3583	588.799	0  	13179.1
1  	296   	102.749	1144.91	0  	13179.1
2  	327   	180.109	1512   	0  	13179.1
3  	283   	488.206	2459.37	0  	14848.2
4  	316   	1189.76	3701.52	0  	14848.2
5  	322   	2098.81	4690.81	0  	14848.2
6  	294   	4867.02	6207.89	0  	14933.7
7  	313   	8277.4 	6382.13	0  	15783.1
8  	308   	9767.35	6226.24	0  	15783.1
9  	307   	8840.04	7068.65	0  	17595.2
10 	290   	9789.72	7107.2 	0  	17595.2
11 	312   	9453.6 	7448.94	0  	17595.2
12 	275   	10745.1	7321.21	0  	17595.2
13 	292   	10740.7	7591.37	0  	17724.7
14 	296   	11172.7	7755.21	0  	18238.6
15 	307   	11002.6	8060.24	0  	18498.1
16 	298   	11560  	8167.42	0  	19212.9
17 	318   	12567.6	8005.62	0  	19212.9
18 	295   	13161.2	7933.19	0  	19399.6
19 	294   	13455.8	7991.25	0  	19451  
20 	311   	12529.7	8612.32	0  	19567.6
21 	316   	12877.3	8685.52	0  	20410.4
22 	299   	14424.9	8169.03	0  	20578  
23 	336   	16287.7	7171.59	0  	20676.9
24 	304   	16864.3	6995.06	0  	20977.6
25 	292   	16647.7	7651.91	0  	21046.5
26 	315   	17916.2	6815.9 	0  	21090.5
27 	292   	17649.1	7361.84	0  	21463.2
28 	300   	17486.9	7692.28	0  	21651.8
29 	308   	17090.1	8180.52	0  	21769.2
30 	287   	17265.3	8257.76	0  	21886  
31 	301   	16138.2	9225.05	0  	22098.2
32 	298   	16924.9	8887.2 	0  	22292.4
33 	285   	16142.7	9485.96	0  	22292.4
34 	277   	17352.4	8900.25	0  	22618.4
35 	292   	17480.4	8973.19	0  	22769.4
36 	283   	17271.2	9336.33	0  	22786.4
37 	301   	18865.1	8239.68	0  	22903.2
38 	291   	18348.4	8888.39	0  	22912.4
39 	293   	18314.2	8987.67	0  	23012.4
40 	294   	19408  	8091.77	0  	23093.9
41 	324   	17821.5	9465.56	0  	23320.8
42 	297   	17978.6	9437.83	0  	23538.3
43 	319   	18154.3	9370.01	0  	23538.3
44 	292   	19303.1	8560.72	0  	23580.2
45 	290   	18383.9	9429.54	0  	23729.4
46 	297   	18612.6	9424   	0  	23778.3
47 	293   	19658.6	8651.77	0  	23778.3
48 	308   	18251.6	9867.92	0  	23788.4
49 	301   	20521.3	8073.35	0  	23788.4
50 	277   	19852.7	8795.98	0  	23788.4
51 	304   	20115.8	8523.92	0  	23788.4
52 	305   	20004.1	8619.76	0  	23880.9
53 	305   	19645.7	8960.54	0  	23901.9
54 	284   	19816.4	8843.26	0  	23931.9
55 	309   	19724.3	8930.78	0  	23931.9
56 	297   	18757.9	9733.26	0  	24098.4
57 	289   	19464  	9251.51	0  	24241.9
58 	286   	20009.7	8805.98	0  	24241.9
59 	284   	19405.7	9340.94	0  	24241.9
60 	291   	19216.3	9498.02	0  	24241.9
61 	309   	18490.2	10108.4	0  	24246.5
62 	313   	18704  	10056.1	0  	24246.5
63 	289   	20291.5	8922.66	0  	24289.4
64 	319   	19934.4	9217.8 	0  	24289.4
65 	294   	19351.7	9682.61	0  	24289.4
66 	316   	18588.6	10218.8	0  	24474.4
67 	327   	17659.7	10742.9	0  	24479  
68 	305   	17556.8	10792.6	0  	24479  
69 	295   	19062.8	9947.98	0  	24585.4
70 	309   	18482.2	10332  	0  	24754.4
71 	292   	19410.7	9715.78	0  	24757  
72 	343   	17701.3	10828  	0  	24842.9
73 	280   	18095.5	10729.4	0  	24842.9
74 	323   	16974.9	11331.7	0  	25078.4
75 	303   	17506.8	11146  	0  	25078.4
76 	307   	18522.7	10706.3	0  	25078.4
77 	281   	18422.5	10814.6	0  	25078.4
78 	322   	18101.9	11071.3	0  	25155.9
79 	281   	19076.3	10560.5	0  	25155.9
80 	282   	19761.3	10193.4	0  	25155.9
81 	301   	20210.2	9861.98	0  	25313.9
82 	308   	18986  	10736.4	0  	25416.4
83 	298   	19455  	10459  	0  	25493.9
84 	302   	20037  	10147  	0  	25651.9
85 	297   	19665.3	10508.9	0  	25715.8
86 	317   	20151.4	10269.3	0  	25730.9
87 	298   	21953.3	8861.1 	0  	25794.8
88 	299   	21252  	9631.46	0  	25746.1
89 	278   	21401  	9556.01	0  	25761.2
90 	331   	20432.2	10352.2	0  	25761.2
91 	291   	21332.5	9657.3 	0  	25761.2
92 	291   	20833.5	10092.6	0  	25761.2
93 	301   	20663.2	10209  	0  	25776.1
94 	285   	21765.1	9287.99	0  	25776.1
95 	274   	22179.3	8878.98	0  	26126.3
96 	271   	21951  	9085.85	0  	26126.3
97 	294   	21831.9	9245.93	0  	26126.3
98 	295   	21871.2	9196.2 	0  	26171.1
99 	304   	20937.3	10081.9	0  	26228.1
100	318   	21617.4	9586.09	0  	26250.1
101	300   	20112.6	10879.9	0  	26250.1
102	289   	21622.9	9858.82	0  	26250.1
103	303   	21696.7	9827.31	0  	26250.1
104	309   	21351.1	10149.7	0  	26250.1
105	292   	21281.6	10190.6	0  	26250.1
106	307   	21039.8	10454.7	0  	26250.1
107	296   	22520.9	9097.19	0  	26250.1
108	284   	21834  	9753.39	0  	26250.1
109	294   	21373.5	10155.6	0  	26250.1
110	322   	20979  	10494  	0  	26250.1
111	349   	20736.8	10635.6	0  	26250.1
112	293   	21642.6	9940.57	0  	26250.1
113	299   	22495.1	9154.61	0  	26250.1
114	300   	22261.9	9363.1 	0  	26250.1
115	324   	21295  	10247.7	0  	26660.1
116	314   	21797.1	9804.08	0  	26660.1
117	287   	22120.7	9513.45	0  	26660.1
118	302   	21149  	10378.1	0  	26660.1
119	310   	19893  	11245.4	0  	26660.1
120	316   	19011.6	11799  	0  	26660.1
121	314   	20864.2	10825.5	0  	26660.1
122	301   	21934.6	10140  	0  	26660.1
123	285   	22349.6	9762.36	0  	26660.1
124	308   	22098.1	10005.3	0  	26660.1
125	294   	22914.1	9189.42	0  	26660.1
126	327   	22715.3	9402.58	0  	26660.1
127	306   	22785.7	9351.31	0  	26660.1
128	327   	21842  	10236.7	0  	26660.1
129	297   	22342.5	9762.67	0  	26660.1
130	314   	21911.9	10137.2	0  	26660.1
131	292   	22667.2	9403.57	0  	26660.1
132	309   	22257.6	9861.62	0  	26660.1
133	271   	22670.3	9461.72	0  	26660.1
134	292   	22502.5	9609.1 	0  	26660.1
135	329   	21336  	10609.4	0  	26660.1
136	278   	22536.3	9617.4 	0  	26660.1
137	293   	22459.6	9659.9 	0  	26660.1
138	306   	21706.9	10314.2	0  	26660.1
139	268   	22947.9	9187.75	0  	26660.1
140	303   	22198.7	9913.75	0  	26660.1
141	297   	22180.7	9906.96	0  	26660.1
142	315   	22332.5	9765.96	0  	26660.1
143	313   	22103  	10005  	0  	26660.1
144	300   	21152.1	10774.9	0  	26660.1
145	300   	22113.4	9954.48	0  	26660.1
146	294   	22533.5	9559.47	0  	26660.1
147	297   	22221.7	9861.34	0  	26660.1
148	303   	21871.4	10183.4	0  	26660.1
149	285   	21587.7	10409.1	0  	26660.1
150	311   	21585.9	10454.9	0  	26660.1
151	295   	22508  	9609.23	0  	26660.1
152	265   	22788.6	9348.9 	0  	26660.1
153	296   	22290.4	9807.74	0  	26660.1
154	293   	22460  	9663.4 	0  	26660.1
155	292   	22456.4	9662.88	0  	26660.1
156	290   	21955.6	10087.2	0  	26660.1
157	279   	22330.2	9761.49	0  	26660.1
158	325   	20964.6	10886.1	0  	26660.1
159	304   	21940.7	10145.3	0  	26660.1
160	329   	22086.7	10000.2	0  	26660.1
161	298   	22554.2	9559.05	0  	26660.1
162	280   	21561  	10446.2	0  	26660.1
163	306   	22675.5	9455.93	0  	26660.1
164	299   	22582.1	9563.36	0  	26660.1
165	304   	22045.1	10052.1	0  	26660.1
166	319   	22414.8	9720.83	0  	26660.1
167	305   	22156.5	9957.85	0  	26660.1
168	316   	22193.7	9908   	0  	26660.1
169	322   	21941  	10145.4	0  	26660.1
170	301   	22318.5	9814.79	0  	26660.1
171	297   	22099.4	10004.8	0  	26660.1
172	303   	21935.4	10140.9	0  	26660.1
173	331   	21472.4	10535.5	0  	26660.1
174	286   	22680.6	9461.25	0  	26660.1
175	305   	22134.9	9954.49	0  	26660.1
176	316   	22008.6	10101.7	0  	26660.1
177	288   	22349.1	9767.23	0  	26660.1
178	284   	21921.2	10139.1	0  	26660.1
179	304   	22635.9	9511.49	0  	26660.1
180	299   	21579.6	10452.3	0  	26660.1
181	316   	22355.1	9764.81	0  	26660.1
182	298   	22471  	9663.95	0  	26660.1
183	312   	22139.6	9958.88	0  	26660.1
184	282   	22309.3	9811.99	0  	26660.1
185	299   	21721.8	10321.7	0  	26681.6
186	315   	22116.4	9954.6 	0  	26681.6
187	286   	21410  	10573  	0  	26681.6
188	268   	22091  	10001  	0  	26681.6
189	289   	20926.7	10920.9	0  	26681.6
190	301   	21309.7	10602.7	0  	26681.6
191	285   	23041.9	9074.24	0  	26681.6
192	312   	21888.7	10193.9	0  	26681.6
193	335   	21069.2	10808.8	0  	26776.6
194	297   	21767.8	10279.7	0  	26776.6
195	309   	21243.8	10697.9	0  	26776.6
196	314   	21953.5	10150.8	0  	26776.6
197	329   	21124.6	10827.5	0  	26776.6
198	312   	21856.5	10243.1	0  	26824.1
199	286   	21890.7	10213.8	0  	26824.1
200	295   	22177.6	10043  	0  	26824.1
201	314   	22306.1	9955.6 	0  	26824.1
202	301   	22035  	10187.7	0  	26824.1
203	303   	21234.6	10820.4	0  	26824.1
204	338   	22005.8	10242.6	0  	26852.7
205	287   	23362.6	8889.02	0  	26919.1
206	312   	22783.4	9508.34	0  	26977.7
207	307   	21532.6	10636.6	0  	27234.1
208	319   	21090  	10951.8	0  	27234.1
209	311   	21022.9	11102.9	0  	27234.1
210	271   	21582.3	10861.1	0  	27234.1
211	282   	22714.5	10074.4	0  	27234.1
212	311   	22635  	10173  	0  	27268.6
213	271   	22634  	10172.3	0  	27268.6
214	286   	22172.4	10542.3	0  	27268.6
215	282   	23178.5	9661.98	0  	27316.1
216	275   	21311.5	11197  	0  	27316.1
217	308   	20114.3	11930.5	0  	27316.1
218	328   	20255.7	11834  	0  	27316.1
219	305   	21541.4	11047.5	0  	27316.1
220	319   	20814.2	11570.4	0  	27316.1
221	290   	22282.1	10515  	0  	27316.1
222	292   	23057.3	9840.99	0  	27316.1
223	327   	23122.6	9792.1 	0  	27316.1
224	307   	22704.4	10142.9	0  	27412.1
225	305   	23161.5	9739.74	0  	27480.1
226	298   	23921.9	8928.34	0  	27566.6
227	306   	22728.3	10150  	0  	27566.6
228	293   	22725.9	10215  	0  	27566.6
229	330   	22154.2	10743.4	0  	27566.6
230	312   	22922.8	10228.2	0  	27644.1
231	294   	23374.3	9824.41	0  	27644.1
232	313   	23881.2	9320.27	0  	27731.6
233	301   	22982.6	10256.2	0  	27731.6
234	291   	22218.3	10909.4	0  	27731.6
235	305   	23015.2	10344.4	0  	27731.6
236	298   	23521  	9889.79	0  	27731.6
237	303   	24088.4	9317.42	0  	27814.1
238	288   	23188  	10204.8	0  	27814.1
239	293   	23020.3	10352  	0  	27814.1
240	300   	22744.3	10592.6	0  	27814.1
241	305   	21921.2	11245.4	0  	27814.1
242	294   	23039.2	10428.5	0  	27814.1
243	308   	23441.6	10081.4	0  	27814.1
244	292   	23277.9	10237  	0  	27814.1
245	298   	24106.5	9405.85	0  	27814.1
246	288   	22749.8	10670.1	0  	27814.1
247	321   	23053.6	10435.5	0  	27814.1
248	289   	23374.7	10133.4	0  	27814.1
249	271   	23717.6	9810.34	0  	27814.1
250	310   	22917.5	10528.9	0  	27814.1
251	302   	23638.3	9863.49	0  	27814.1
252	289   	24164  	9344.23	0  	27814.1
253	293   	23728.8	9815.17	0  	27814.1
254	291   	23159.6	10340.7	0  	27814.1
255	296   	22929.4	10527.6	0  	27814.1
256	309   	23287.2	10241  	0  	27814.1
257	289   	23775.6	9754.38	0  	27814.1
258	317   	22603.7	10809.4	0  	27814.1
259	302   	23435.8	10085.2	0  	27814.1
260	296   	22927.4	10534.8	0  	27814.1
261	284   	23264.8	10236.3	0  	27814.1
262	284   	22820.4	10628.9	0  	27814.1
263	303   	23477.4	10024.4	0  	27814.1
264	305   	23214.7	10286.8	0  	27845.6
265	303   	23321.4	10184.5	0  	27845.6
266	303   	22453.7	10946.5	0  	28144.1
267	294   	22431.4	10939  	0  	28144.1
268	295   	21557.9	11585.2	0  	28144.1
269	302   	20474.4	12213.2	0  	28144.1
270	304   	20606.4	12215.9	0  	28175.6
271	316   	19341.3	12849.3	0  	28175.6
272	309   	18703.1	13188.6	0  	28175.6
273	329   	19547  	12922.4	0  	28226.6
274	283   	20297.7	12599.6	0  	28226.6
275	311   	21930.9	11651.1	0  	28226.6
276	264   	23453.8	10470.5	0  	28226.6
277	311   	22070.7	11535.5	0  	28226.6
278	300   	20149.9	12695.7	0  	28226.6
279	304   	21910.1	11706.5	0  	28226.6
280	287   	22381.6	11403.9	0  	28226.6
281	294   	23928.3	10069.5	0  	28226.6
282	306   	23661  	10336.4	0  	28226.6
283	304   	23883.6	10126.7	0  	28226.6
284	296   	23387.5	10592.2	0  	28226.6
285	290   	24020.7	10017  	0  	28226.6
286	295   	23829.8	10184.4	0  	28226.6
287	314   	23943  	10065.6	0  	28226.6
288	315   	23948.3	10068  	0  	28226.6
289	310   	23315.2	10644.8	0  	28226.6
290	282   	23095.1	10825.5	0  	28226.6
291	308   	23923.7	10129.4	0  	28226.6
292	313   	23569  	10441.6	0  	28226.6
293	278   	24129.6	9902.8 	0  	28226.6
294	300   	23627  	10392.6	0  	28226.6
295	287   	23914.6	10127.5	0  	28226.6
296	303   	23965.1	10069.8	0  	28226.6
297	300   	24298.5	9731.43	0  	28226.6
298	298   	23231.8	10738.4	0  	28226.6
299	290   	23276  	10686.5	0  	28226.6
300	290   	23925  	10129.6	0  	28226.6
301	288   	22832.9	11061.2	0  	28226.6
302	266   	24225.9	9782.13	0  	28226.6
303	298   	23624.7	10390.8	0  	28226.6
304	279   	23785.2	10232.6	0  	28226.6
305	286   	24017.1	10013.8	0  	28226.6
306	295   	23036.1	10873.9	0  	28226.6
307	294   	24335.3	9669.17	0  	28226.6
308	272   	23299.3	10694.6	0  	28226.6
309	282   	23676.2	10335.1	0  	28226.6
310	303   	23283.9	10689.6	0  	28226.6
311	304   	23957.1	10067.4	0  	28226.6
312	289   	23810.1	10176.7	0  	28226.6
313	294   	24067.2	9955.82	0  	28226.6
314	321   	23128.9	10774.6	0  	28226.6
315	332   	23438  	10539.3	0  	28226.6
316	301   	23662.3	10331.8	0  	28226.6
317	302   	23456.9	10543.5	0  	28226.6
318	323   	22776.2	11104.6	0  	28226.6
319	299   	23814.2	10172.4	0  	28226.6
320	271   	23911.3	10126.8	0  	28226.6
321	299   	23938  	10070.1	0  	28226.6
322	291   	23548.1	10435.9	0  	28226.6
323	294   	23329.4	10638.2	0  	28226.6
324	320   	23113.7	10831.5	0  	28226.6
325	324   	23059.1	10878.3	0  	28226.6
326	303   	23174.7	10785.9	0  	28226.6
327	337   	23701.1	10277.1	0  	28226.6
328	299   	23628  	10393  	0  	28226.6
